vb,uii,hei_name,form,discipline,,deg_title1,prog_name1,major_title1,major_name1,deg_title2,prog_name2,major_title2,major_name2,ladderized,straight,eteeap,coe-cod,prog_level,authority_category,authority_serial,prog_status_yr,thesis,prog_status,prog_cal_mode,prog_length,prog_labunits,prog_lectureunits,prog_totalunits,prog_credit,tuition_unit,prog_fee,EFM,EFF,E1M,E1F,1Total,E2M,E2F,Enroll_total,E3M,E3F,Enroll_total,E4M,E4F,Enroll_total,E5M,E5F,Enroll_total,E6M,E6F,Enroll_total,E7M,E7F,Enroll_total,EM,EF,Enroll_total,units_lec,units_lab,units_total,GM,GF,Enroll_total,updater,date_updated,remarks
2025-26,09001,"Andres Bonifacio College, Inc.",B,HUMANITIES,Master of Arts in English and Literature  ,Master of Arts in,English and Literature,,,,,,,,,,,80,GR,97,,1,CO,TR,2,,,0,36,636.79,72277.68,,,2,23,25,,,0,,,0,,,0,,,0,,,0,,,0,2,23,25,,,0,2,4,6,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,ENGINEERING AND TECH,Bachelor of Science in Geodetic Engineering  ,Bachelor of Science in,Geodetic Engineering,,,,,,,,,,,50,GR,190,1975,2,CO,SE,4,,,0,194,478.45,139789.07,3,2,0,0,5,4,2,6,4,0,4,3,1,4,0,0,0,0,0,0,0,0,0,14,5,19,,,0,5,5,10,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,SOCIAL AND BEHAVIORAL SCIENCES,Master of Arts in Social Studies  ,Master of Arts in,Social Studies,,,,,,,,,,,80,GR,97,,1,CO,TR,2,,,0,36,636.79,72277.68,,,1,12,13,,,0,,,0,,,0,,,0,,,0,,,0,1,12,13,,,0,1,0,1,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,HUMANITIES,Master of Arts in Filipino  ,Master of Arts in,Filipino,,,,,,,,,,,80,GR,97,,1,CO,TR,2,,,0,36,636.79,72277.68,,,2,10,12,,,0,,,0,,,0,,,0,,,0,,,0,2,10,12,,,0,3,2,5,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Master of Business Administration  ,Master of,Business Administration,,,,,,,,,,,80,GR,74,,1,CO,TR,2,,,0,36,636.79,72277.68,,,6,6,12,,,0,,,0,,,0,,,0,,,0,,,0,6,6,12,,,0,2,3,5,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Master of Public Administration  ,Master of,Public Administration,,,,,,,,,,,80,GR,13,,2,CO,TR,2,,,0,48,636.79,72277.68,,,5,4,9,,,0,,,0,,,0,,,0,,,0,,,0,5,4,9,,,0,2,2,4,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Master of Public Administration  ,Master of,Public Administration,,,,,,,,,,,80,GR,13,,1,CO,TR,2,,,0,36,636.79,72277.68,,,5,3,8,,,0,,,0,,,0,,,0,,,0,,,0,5,3,8,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,"AGRICULTURE, FORESTRY, FISHERIES",Bachelor of Agricultural Technology  ,Bachelor of,Agricultural Technology,,,,,,,,,,,50,GR,005,1990,2,CO,SE,4,,,0,176,478.45,124755.63,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,2,3,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,HUMANITIES,Bachelor of Arts in English and Literature  ,Bachelor of Arts in,English and Literature,,,,,,,,,,,50,GR,127,1973,2,NO,SE,4,,,0,145,"1,004.76",95550.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,MASS COMMUNICATION AND DOCUMENTATION,Bachelor of Arts in Communication  ,Bachelor of Arts in,Communication,,,,,,,,,,,50,GR,127,1973,2,NO,SE,4,,,0,142,478.45,95550.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,MATHEMATICS,Bachelor of Science in Mathematics  ,Bachelor of Science in,Mathematics,,,,,,,,,,,50,GR,127,1973,2,NO,SE,4,,,0,161,"1,004.76",161766.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Accountancy  ,Bachelor of Science in,Accountancy,,,,,,,,,,,50,GR,11,1990,2,CO,SE,4,,,0,199,478.45,121046.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,4,10,14,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,SOCIAL AND BEHAVIORAL SCIENCES,Bachelor of Science in Social Work  ,Bachelor of Science in,Social Work,,,,,,,,,,,50,GR,145,1984,2,CO,SE,4,,,0,148,478.45,119837.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Elementary Education  ,Master of Arts in,Elementary Education,,,,,,,,,,,80,GR,97,,1,NO,TR,2,,,0,36,636.79,72277.68,,,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Accountancy Major in Accounting,Bachelor of Science in,Accountancy,Major in,Accounting,,,,,,,,,50,GR,8,,1,CO,SE,4,,,0,218,1122,368159,45,59,0,0,104,27,45,72,26,40,66,24,37,61,,,0,,,0,,,0,122,181,303,,,0,14,36,50,Kim Dioven Lusaya,04-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master in Education Major in Biology,Master in,Education,Major in,Biology,,,,,,,,,80,GR,10,,2,CO,SE,2,,,0,33,2137,90750,,,0,0,0,1,1,2,,,0,,,0,,,0,,,0,,,0,1,1,2,,,0,1,0,1,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master in Teaching Major in Biology,Master in,Teaching,Major in,Biology,,,,,,,,,80,GR,10,,1,CO,SE,3,,,0,36,2137,99000,,,0,0,0,0,1,1,,,0,,,0,,,0,,,0,,,0,0,1,1,,,0,1,1,2,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master in Education Major in Chemistry,Master in,Education,Major in,Chemistry,,,,,,,,,80,GR,10,,2,CO,SE,2,,,0,33,2137,94428,,,0,0,0,1,1,2,,,0,,,0,,,0,,,0,,,0,1,1,2,,,0,0,0,0,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master in Teaching Major in Chemistry,Master in,Teaching,Major in,Chemistry,,,,,,,,,80,GR,10,,1,CO,SE,3,,,0,36,2137,99000,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Computer Education,Master of Arts in,Education,Major in,Computer Education,,,,,,,,,80,GR,74,,1,NO,SE,3,,,0,36,2137,99000,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,ENGINEERING AND TECH,Bachelor of Science in Civil Engineering Major in Construction Management,Bachelor of Science in,Civil Engineering,Major in,Construction Management,,,,,,,,,50,GP,Autonomous,,1,CO,SE,4,,,0,233,1122,384989,0,0,0,0,0,0,0,0,0,0,0,17,7,24,,,0,,,0,,,0,17,7,24,,,0,6,2,8,Kim Dioven Lusaya,04-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Early Childhood Education,Master of Arts in,Education,Major in,Early Childhood Education,,,,,,,,,80,GR,74,,1,CO,SE,2,,,0,33,2137,88911,,,0,3,3,0,6,6,,,0,,,0,,,0,,,0,,,0,0,9,9,,,0,0,0,0,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Early Childhood Education,Master of Arts in,Education,Major in,Early Childhood Education,,,,,,,,,80,GR,74,,2,CO,SE,3,,,0,42,2137,115500,,,,,0,,1,1,,,0,,,0,,,0,,,0,,,0,0,1,1,,,0,0,2,2,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Educational Administration,Master of Arts in,Education,Major in,Educational Administration,,,,,,,,,80,GR,74,,2,CO,SE,3,,,0,42,2137,115500,,,3,5,8,1,4,5,,,0,,,0,,,0,,,0,,,0,4,9,13,,,0,0,0,0,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Educational Administration,Master of Arts in,Education,Major in,Educational Administration,,,,,,,,,80,GR,74,,1,CO,SE,2,,,0,33,2137,88911,,,,,0,2,3,5,,,0,,,0,,,0,,,0,,,0,2,3,5,,,0,0,0,0,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Elementary Education,Master of Arts in,Education,Major in,Elementary Education,,,,,,,,,80,GR,74,,2,CO,SE,3,,,0,42,2137,115500,,,0,9,9,0,6,6,,,0,,,0,,,0,,,0,,,0,0,15,15,,,0,0,0,0,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Elementary Education,Master of Arts in,Education,Major in,Elementary Education,,,,,,,,,80,GR,74,,1,CO,SE,2,,,0,33,2137,88911,,,,,0,,4,4,,,0,,,0,,,0,,,0,,,0,0,4,4,,,0,2,1,3,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in English,Master of Arts in,Education,Major in,English,,,,,,,,,80,GR,74,,2,NO,SE,2,,,0,33,2137,87072,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,06-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in English Education,Bachelor of,Secondary Education,Major in,English Education,,,,,,,,,50,GR,167,,2,CO,SE,4,,,0,188,1122,334499,12,23,0,0,35,0,0,0,5,2,7,3,5,8,,,0,,,0,,,0,20,30,50,,,0,0,0,0,Kim Dioven Lusaya,04-Nov-2025,
2025-26,09002,Ateneo de Zamboanga University,B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Business Administration Major in Entrepreneurial Track,Bachelor of Science in,Business Administration,Major in,Entrepreneurial Track,,,,,,,,,50,GR,168,,2,CO,SE,4,,,0,170,1122,314303,11,3,0,0,14,8,5,13,0,0,0,0,0,0,,,0,,,0,,,0,19,8,27,,,0,0,0,0,Kim Dioven Lusaya,04-Nov-2025,
